epoch,dense_3_acc,dense_3_loss,dense_6_acc,dense_6_loss,loss,val_dense_3_acc,val_dense_3_loss,val_dense_6_acc,val_dense_6_loss,val_loss
0,0.791985597631,0.136307663632,0.620891505442,0.186355648295,0.322663311893,0.577752555827,0.13364665965,0.459704889511,0.0710458801605,0.204692539525
1,0.833408379034,0.0739055929042,0.649257107918,0.143789005878,0.217694598606,0.573212264023,0.101760989954,0.334846769353,0.10031002198,0.202071011616
2,0.86042323157,0.0576901105423,0.694732121254,0.125692063524,0.183382174259,0.691259940742,0.114356686517,0.343927359304,0.0765039213763,0.190860607931
3,0.867627195199,0.0461127754051,0.710490784898,0.111552068946,0.157664845705,0.707150970851,0.0706610915132,0.419977307912,0.0672749682297,0.137936059479
4,0.869428183623,0.0391071363638,0.736154899303,0.0995640795638,0.138671216011,0.612939843864,0.115173315018,0.367763911994,0.0776610775099,0.192834391344
5,0.86987842922,0.0398621505455,0.731652421163,0.091190330971,0.131052481114,0.578887632077,0.104967612435,0.375709428825,0.120620246127,0.225587859665
6,0.881134621199,0.0297495668032,0.749662325169,0.0799147444184,0.109664311075,0.637911466799,0.048961224267,0.39614075539,0.0875611311199,0.136522356645
7,0.840612337027,0.0536068348002,0.725348952384,0.180522570609,0.234129407163,0.586833150007,0.0769799755655,0.518728727211,0.0510125000296,0.12799247512
8,0.861773973996,0.038231415352,0.751913565067,0.111785284724,0.150016699612,0.592508515607,0.0744811287668,0.393870608558,0.0848798084281,0.159360937977
9,0.873030165303,0.0322486805884,0.758217029881,0.101216125059,0.133464805467,0.633371172458,0.0449273933495,0.451759372782,0.0557963442349,0.100723737819
10,0.878883383823,0.029453554732,0.76226925917,0.0902573898777,0.119710944593,0.568671966891,0.10325871534,0.39046538759,0.0839990973134,0.187257813102
11,0.885637097829,0.0292513162143,0.769022973042,0.0812488292159,0.110500144373,0.645856981769,0.0452215555172,0.401816123697,0.0921457536121,0.137367309121
12,0.894642050821,0.0266094596307,0.761368764622,0.0722184287743,0.0988278894659,0.614074918083,0.0798339910623,0.396140756912,0.0748182418846,0.154652233156
13,0.90049526612,0.0245983401873,0.774425944891,0.0698952080782,0.0944935478461,0.610669696101,0.0821718485406,0.404086273151,0.10219283676,0.184364685702
14,0.904997744629,0.0224844775926,0.786132380454,0.0656501735745,0.0881346522527,0.666288312816,0.0446673014881,0.485811587529,0.0602912531804,0.104958554795
15,0.900045018376,0.0225777879361,0.793786589276,0.0723493667357,0.0949271560388,0.589103294133,0.0654867351326,0.389330313878,0.109794235756,0.175280970973
16,0.903196750703,0.0235335370874,0.781179658092,0.0679899550859,0.0915234914315,0.632236095786,0.0713199629035,0.444948930424,0.0735970686796,0.144917031583
17,0.909950469003,0.0200622258752,0.791085101339,0.0653662472399,0.0854284729539,0.660612941296,0.0873211314828,0.385925091812,0.0843834599668,0.171704591006
18,0.907248980663,0.0227555842858,0.781179657958,0.0670757781486,0.0898313636672,0.725312149822,0.0538468249713,0.451759371006,0.0571060894051,0.11095291519
19,0.910400714331,0.0249178026304,0.769473219712,0.0787538043334,0.103671605988,0.623155508372,0.0476770837549,0.461975035667,0.0748091960383,0.122486279582
20,0.911301211965,0.020577919269,0.791985600449,0.063145076778,0.0837229959271,0.611804769052,0.0535281263672,0.33825199032,0.136980551512,0.190508678099
21,0.897343534062,0.0239695240066,0.788383618635,0.0670346814257,0.0910042065499,0.636776394948,0.0488605149234,0.460839962969,0.0749986658251,0.123859181552
22,0.913102199182,0.020522442841,0.78658262605,0.0593003549486,0.0798227973345,0.618615212593,0.0514301439804,0.44608400143,0.0890898363967,0.14051998114
23,0.913552449073,0.0192581796926,0.807744266776,0.0610394052832,0.080297585503,0.548240638466,0.100777644998,0.41543701171,0.0935628625832,0.194340508452
24,0.905447991031,0.0213586463384,0.794236836483,0.0586651842077,0.0800238303112,0.601589104036,0.0652436266456,0.435868338359,0.0803326490281,0.145576275272
25,0.901846012303,0.0209183008982,0.791085104734,0.0657052158981,0.0866235163849,0.667423388051,0.0474597130544,0.414301936814,0.0861888004596,0.133648513217
26,0.872579918633,0.0369340399073,0.757766783076,0.0745810148638,0.111515055515,0.604994327202,0.0715533659014,0.412031788375,0.0867795004519,0.15833286667
27,0.88878883096,0.0272501525438,0.769473221725,0.0691757984929,0.0964259512719,0.618615213185,0.0792996460967,0.400681051676,0.078485593297,0.157785239626
28,0.89058982341,0.0309586758335,0.766321486983,0.0712662892435,0.102224964922,0.63564131836,0.0790748798228,0.384790018522,0.0699661259754,0.149041005908
29,0.89104006941,0.0281308113171,0.778928417603,0.073296367587,0.101427178558,0.599318956696,0.118937668415,0.381384797809,0.126817206291,0.245754876181
30,0.904547495544,0.0250347738236,0.772174707086,0.0701536059468,0.0951883802694,0.645856981854,0.0738575374634,0.406356422097,0.0726831858633,0.146540722988
31,0.909500221796,0.0205363751436,0.788383620111,0.0657307017286,0.0862670776068,0.743473328878,0.101397919859,0.384790017338,0.0872371837615,0.18863510398
32,0.895992791905,0.0246557036439,0.785231887113,0.0676385208089,0.0922942248025,0.610669696778,0.0825298285613,0.422247453814,0.0717697438491,0.154299572812
33,0.905447991299,0.0224227230197,0.778027923351,0.0722421741181,0.0946648965754,0.671963679855,0.0684430947386,0.416572084238,0.0721097858189,0.140552880367
34,0.902746506287,0.0179448103002,0.798739312952,0.0606408687472,0.0785856795326,0.580022705873,0.133444982222,0.471055625212,0.0627739160458,0.196218898074
35,0.904097248605,0.0193806715643,0.78523188282,0.0625394322865,0.0819201043118,0.595913737167,0.0804557057011,0.423382527272,0.0893867734638,0.169842479076
36,0.904097247371,0.0204784292065,0.78343089681,0.0632909812345,0.0837694108855,0.595913737082,0.0538296070834,0.390465387252,0.0632171969391,0.117046803811
37,0.899144523694,0.024283312649,0.788833864741,0.0725375907902,0.0968209033725,0.623155508034,0.0624592669909,0.4108967161,0.0882312900701,0.150690556638
38,0.911301209281,0.0178697365498,0.798739314052,0.0574241225003,0.075293858245,0.637911465953,0.0625487142914,0.443813855444,0.0724859790502,0.135034693111
39,0.909500220723,0.018150835207,0.797838819773,0.0572651057667,0.0754159415314,0.657207721005,0.0679451613206,0.43700341427,0.075009522412,0.142954683483
40,0.91085096127,0.0212705071717,0.779828913252,0.0612448517829,0.0825153597216,0.617480139473,0.0615475487247,0.43019297056,0.0641917112779,0.125739259563
41,0.905898239311,0.0176636280168,0.800540303416,0.0591602486729,0.0768238761467,0.660612943917,0.113573272631,0.400681050475,0.104287400531,0.21786067382
42,0.917604676886,0.0258852072879,0.7906348544,0.0635792845487,0.0894644918429,0.636776394186,0.050315013722,0.45289444624,0.0649334830438,0.115248496937
43,0.909500220723,0.0178825914166,0.798289065638,0.0563899502443,0.0742725421251,0.628830876426,0.0653831582901,0.43927356161,0.0805613540079,0.145944513588
44,0.918054924361,0.0174434212448,0.798289067517,0.052818230373,0.0702616519637,0.626560729001,0.0666732220624,0.39954597881,0.0745728029346,0.14124602553
45,0.911751458072,0.0206379060017,0.787483123147,0.0614221202271,0.0820600261114,0.681044270567,0.0564852246188,0.432463119506,0.0777831692143,0.134268393624
46,0.908149476687,0.0197587645554,0.793336343277,0.0535711944489,0.073329959006,0.635641319544,0.0504818919573,0.40749149378,0.0824182308686,0.132900122701
47,0.905898240653,0.0238993144366,0.797838817626,0.0570928244917,0.0809921385324,0.631101023512,0.114238262921,0.422247453475,0.101823309181,0.216061573116
48,0.899144525573,0.0348140630318,0.765871236959,0.0774926866913,0.112306749711,0.593643589066,0.092365918347,0.402951200961,0.087728465866,0.180094383835
49,0.892390812372,0.0283161340661,0.779828913225,0.0629199921988,0.0912361267614,0.595913736828,0.0901785979616,0.42565267495,0.0786387900886,0.168817387224
50,0.907699230822,0.0250161268708,0.788833864473,0.0506260127654,0.0756421396488,0.620885358749,0.066675908983,0.426787748324,0.0743432298036,0.141019138965
51,0.909950467661,0.0232974508803,0.782080151969,0.0533722911545,0.0766697419084,0.616345064154,0.074429336893,0.398410904252,0.0835024945725,0.157931831356
52,0.912651954391,0.0188204276152,0.800540305027,0.0470968726008,0.0659172999707,0.60726447488,0.08712482149,0.371169133807,0.0984971372751,0.185621958619
53,0.904547496617,0.0222659832653,0.772624953917,0.0677033254079,0.089969308412,0.599318958218,0.0630037655439,0.414301938167,0.085303379449,0.148307144997
54,0.903196753118,0.0209969216475,0.798739315797,0.0444050467582,0.0654019686322,0.58115777671,0.087121201307,0.41430193656,0.0971144112789,0.184235612816
